Type;Committee / Working Group;Reference;Vote;Result;Status;Start date;End date;Vienna agreement;Role;English title;URL;Note;Vote in parallel with;Project ID
"CD";"ISO/TC 44/SC 5";"ISO/CD 23279";"";"";"Open";"2025-12-18";"2026-02-12";"Joint, ISO lead";"Obligated voter";"Non-destructive testing of welds — Ultrasonic testing — Characterization of discontinuities in welds";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=543169";"";"";"90960"
"CD";"ISO/TC 188";"ISO/CD TS 25429";"";"";"Open";"2025-12-18";"2026-02-12";"";"Obligated voter";"Small Craft — Electromagnetic Compatibility (EMC) — Test Methods and Requirements for Propulsion Systems and Electronic Sub-Assemblies";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=542569";"Members are invited to provide comments on the CD document via Online Standards Development (OSD).";"";"90315"
"CIB";"ISO/TC 274";"Survey for comments on ISO/DIS 23299-1";"";"";"Open";"2025-12-19";"2026-02-12";"";"Obligated voter";"ISO/DIS 23299-1 Railway applications — Interior electrical lighting for passenger rolling stock — Part 1: Mainline";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=544009";"";"";""
"FDIS";"ISO/TC 108/SC 5";"ISO/FDIS 17934";"";"";"Open";"2025-12-19";"2026-02-13";"";"Obligated voter";"Condition monitoring and diagnostics of machines — Reciprocating compressors";"https://isotc.iso.org/livelink/eb3/part/fdis/ballotAction.do?method=doView&id=536569";"";"";"85090"
"CIB";"ISO/TC 184";"ISO/IEC JTC 1/CG 1 Data standardization survey questionnaire";"";"";"Open";"2026-01-17";"2026-02-13";"";"Obligated voter";"ISO/IEC JTC 1/CG 1 Data standardization survey questionnaire circulation for feedback collection";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=558609";"During TC 184 last plenary meeting in november, TC 184 has taken a resolution to circulate CG 1 survey within TC 184, and to SCs officers, in order to submit information about relevant TC 184 standards based on instructions and taxonomy. TC 184 members are invited to share any feedback that can be relevant regarding the survey, by February 13 using the spreadsheet attached. Please note that the survey has also been sent via ISO documents for comments. Members can send their comments to the committee manager of TC 184 by email.";"";""
"CD";"ISO/TC 229";"ISO/CD TS 80004-12.2";"";"";"Open";"2025-12-19";"2026-02-13";"Joint, ISO lead";"Obligated voter";"Nanotechnologies — Vocabulary — Part 12: Quantum phenomena in nanotechnology";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=544349";"";"";"86096"
"CD";"ISO/TC 107";"ISO/CD 25249-2";"";"";"Open";"2025-12-20";"2026-02-14";"Joint, ISO lead";"Obligated voter";"Corrosion protection of offshore wind structures — Part 2: Primary steel components — general requirements for thermal spraying and painting";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=544889";"CD Consultation ballot Documents: - N3124_Reference Draft ISO/CD 25245-2 for CD consultation   Note: All comments on NP 25249-2 have been resolved. A few action items were deferred as specific suggestions were not received in time; these will be addressed in the upcoming meeting during the CD stage.";"";"89569"
"CD";"ISO/TC 229";"ISO/CD TS 20510";"";"";"Open";"2025-12-20";"2026-02-14";"";"Obligated voter";"Guidelines to use synthetic biological reference materials for nanoscale imaging by electron microscopy for life sciences and clinical diagnostics";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=545149";"";"";"86297"
"CIB";"ISO/TC 167";"Joint work ISO/TC 59/SC 19 - Prefabricated Steel Structures";"";"";"Open";"2025-12-12";"2026-02-15";"";"Obligated voter";"Joint work ISO/TC 59/SC 19 - Prefabricated Steel Structures";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=538529";"ISO/TC 59/SC 19 has reached out to ISO/TC 167 for possible joint work on a new proposal on ""Prefabricated Steel Structures - Layered Assembly System and Design"", please see the attached documents. Depending on the interest and on the number of interested experts, ISO/TC 167 can participate via a liaison by commenting on the draft, via a liaison by nominating experts in the relevant WG under TC 59/SC 19, or proposing the establishment of a joint working group.";"";""
"CIB";"ISO/TC 60/SC 2";"Conversion of ISO/TS 6336-20 to an International Standard";"";"";"Open";"2026-01-17";"2026-02-16";"";"Obligated voter";"";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=558309";"";"";""
"CIB";"ISO/TC 60/SC 2";"Conversion of ISO/TS 6336-21 to an International Standard";"";"";"Open";"2026-01-17";"2026-02-16";"";"Obligated voter";"";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=558349";"";"";""
"CIB";"ISO/TC 323";"TC 323 Communication group : Call for regional coordinators";"";"";"Open";"2026-01-27";"2026-02-16";"";"Obligated voter";"";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=562729";"Dear members,  TC 323 Communication group is looking for volunteers to be regional coordinators. Please note that there could be more than one per region (Asia, Africa, Americas, Europe). Best regards Mélissa De Medeiros  ISO/TC 323 Committee Manager";"";""
"FDIS";"ISO/TC 92/SC 2";"ISO/FDIS 23693-2";"";"";"Open";"2025-12-23";"2026-02-17";"";"Obligated voter";"Determination of the resistance to gas explosions of passive fire protection materials — Part 2: Divisional substrates";"https://isotc.iso.org/livelink/eb3/part/fdis/ballotAction.do?method=doView&id=538209";"";"";"78369"
"CIB";"ISO/TC 207/SC 7";"N1211 - Request for Category A liaison - TFS";"";"";"Open";"2026-01-20";"2026-02-17";"";"Obligated voter";"N1211 - Request for Category A liaison - TFS";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=559609";"";"";""
"DIS";"ISO/IEC JTC 1/SC 27";"ISO/IEC DIS 28033-4.2";"";"";"Open";"2025-12-24";"2026-02-18";"";"Obligated voter";"Information Security — Fully homomorphic encryption — Part 4: Mechanisms for arithmetic based on look-up table evaluation";"https://isotc.iso.org/livelink/eb3/part/dis/ballotAction.do?method=doView&id=538349";"";"";"87641"
"CIB";"ISO/TC 138/SC 3";"N1313 Resolution1/2026 Appointment Project Leader DIS 4433-5";"";"";"Open";"2026-01-22";"2026-02-18";"";"Obligated voter";"Appointment of the new Project Leader: Oleg Clericuzio (Mr) for the advancement of ISO/DIS 4433-5";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=560909";"New Project Leader for the development of  ISO 4433-5 ""Thermoplastics piping systems — Preliminary evaluation of the resistance to chemicals — Part 5: Unplasticized Polyamide (PA-U) piping components”";"";""
"CIB";"ISO/TC 147/SC 5";"Draft RbC 001, 002, 003, 004/2026 Revision ISO 11348";"";"";"Open";"2025-12-20";"2026-02-19";"";"Obligated voter";"Draft RbC 001/2026, 002/2026, 003/2026 and 004/2026 - Revision ISO 11348 series and Re-Installation WG 1";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=545629";"Draft RbC 001/2026 Revision of ISO 11348-1 ISO/TC 147/SC 5 decides to revise ISO 11348-1, Determination of the inhibitory effect of water samples on the light emission of Vibrio fischeri (Luminescent bacteria test) Part 1: Method using freshly prepared bacteria: development track: 36 monthsProject Leader: Denise Spira (spira@bafg.de)TC, SC, WG in charge: WG 1 ""Toxicity – Bacteria and biodegradability""the current scope is confirmedthe project is starting at stage: 20.20Project plan (target dates): WG meetings (if any): 2026-04-16Circulation of CD (30.20) (if any): 2027-02-20Submission of DIS (40.00):2028-02-20Submission of FDIS (50.00) (if any):2028-12-20Publication: 2029-02-20These  UN Sustainable Development Goals (SDGs) are supported: GOAL 3: Good Health and Well-being, GOAL 6: Clean Water and Sanitation, GOAL 14: Life Below Water Using the Online Standards Development platform: OSD option: yesDraft RbC 002/2026 Revision of ISO 11348-2 ISO/TC 147/SC 5 decides to revise ISO 11348-2, Water quality - Determination of the inhibitory effect of water samples on the light emission of Vibrio fischeri (Luminescent bacteria test) - Part 2: Method using liquid-dried bacteria : development track: 36 monthsProject Leader: Denise Spira (spira@bafg.de)TC, SC, WG in charge: WG 1 ""Toxicity – Bacteria and biodegradability""the current scope is confirmedthe project is starting at stage: 20.20Project plan (target dates): WG meetings (if any): 2026-04-16Circulation of CD (30.20) (if any): 2027-02-20Submission of DIS (40.00):2028-02-20Submission of FDIS (50.00) (if any):2028-12-20Publication: 2029-02-20These  UN Sustainable Development Goals (SDGs) are supported: GOAL 3: Good Health and Well-being, GOAL 6: Clean Water and Sanitation, GOAL 14: Life Below Water Using the Online Standards Development platform: OSD option: yesDraft RbC 003/2026 Revision of ISO 11348-3 ISO/TC 147/SC 5 decides to revise ISO 11348-3, Water quality - Determination of the inhibitory effect of water samples on the light emission of Vibrio fischeri (Luminescent bacteria test) - Part 3: Method using freeze-dried bacteria: development track: 36 monthsProject Leader: Denise Spira (spira@bafg.de)TC, SC, WG in charge: WG 1 ""Toxicity – Bacteria and biodegradability""the current scope is confirmedthe project is starting at stage: 20.20Project plan (target dates): WG meetings (if any): 2026-04-16Circulation of CD (30.20) (if any): 2027-02-20Submission of DIS (40.00):2028-02-20Submission of FDIS (50.00) (if any):2028-12-20Publication: 2029-02-20These  UN Sustainable Development Goals (SDGs) are supported: GOAL 3: Good Health and Well-being, GOAL 6: Clean Water and Sanitation, GOAL 14: Life Below Water Using the Online Standards Development platform: OSD option: yes  Draft RbC 004/2026 Re-installation of WG 1 ""Toxicity – Bacteria and biodegradability"" ISO/TC 147/SC 5 decides to reopen WG 1 ‘Toxicity – Bacteria and biodegradability’ if the revision of the ISO 11348 series is confirmed, with the DIN Secretariat and Convenor Marcus Lukas.";"";""
"NP";"ISO/TC 156";"ISO/NP 7125-1";"";"";"Open";"2025-11-27";"2026-02-19";"";"Obligated voter";"Corrosion of metal and alloys — Classification of atmospheric corrosion using electrochemical measurements — Part 1: Part 1: Annual severity classification";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=530489";"";"";"93460"
"NP";"ISO/TC 267";"ISO/PWI 41020";"";"";"Open";"2025-11-27";"2026-02-19";"";"Obligated voter";"Facility Management — Performance Management Framework and Measurement";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=531429";"";"";"90069"
"CIB";"ISO/TC 113";"Revision of ISO 9825";"";"";"Open";"2026-01-21";"2026-02-20";"";"Obligated voter";"Revision of ISO 9825: 2005 Hydrometry — Field measurement of discharge in large rivers and rivers in flood";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=559849";"Resolution : (N/24-10 was adopted) during the Plenary meeting of ISO TC 113 in April 2024.   ISO 9825: 2005 (Ed 2, vers 3) : The Committee discussed the comments received on the document and decided to revise the document. Secretariat will launch a CIB to call for experts for the revision of ISO 9825. Res:";"";""
"FDIS";"ISO/TC 135/SC 7";"ISO/FDIS 18490 (Ed 2)";"";"";"Open";"2025-12-26";"2026-02-20";"Joint, ISO lead";"Obligated voter";"Non-destructive testing — Evaluation of vision acuity of NDT personnel";"https://isotc.iso.org/livelink/eb3/part/fdis/ballotAction.do?method=doView&id=540189";"";"";"88640"
"DIS";"ISO/TC 147/SC 3";"ISO/DIS 9697 (Ed 5)";"";"";"Open";"2025-11-28";"2026-02-20";"Joint, ISO lead";"Obligated voter";"Water quality — Gross beta activity — Test method using thick source";"https://isotc.iso.org/livelink/eb3/part/dis/ballotAction.do?method=doView&id=511282";"";"";"89862"
"FDIS";"ISO/TC 167";"ISO/FDIS 20895";"";"";"Open";"2025-12-26";"2026-02-20";"";"Obligated voter";"Welded joints performance for seismic steel structures";"https://isotc.iso.org/livelink/eb3/part/fdis/ballotAction.do?method=doView&id=540409";"";"";"86506"
"CIB";"ISO/TC 173/SC 1";"CIB launched-Call the for revision of ISO 16840-1";"";"";"Open";"2025-11-28";"2026-02-20";"";"Obligated voter";"Part 1: Vocabulary, reference axis convention and measures for body segments, posture and postural support surfaces";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=531769";"Dear Committee members A CIB is launched-Call the for revision of ISO 16840-1: Wheelchair seating: Part 1: Vocabulary, reference axis convention and measures for body segments, posture and postural support surfaces based on that the the second edition aims to update ISO 16840-1 by adopting the widely accepted positive/negative angle approach from the Clinical Advisory Guide, making terminology more generic, reorganizing all terms and definitions into Clause 3, and adding new terminology for contoured cushions and back supports, addressing limitations in the 2006 first edition";"";""
"CIB";"ISO/TC 207/SC 7";"N1212 - Appointment of ISO/TC268 Liaison Representative";"";"";"Open";"2026-01-23";"2026-02-20";"";"Obligated voter";"N1212 - Appointment of ISO/TC268 Liaison Representative";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=561389";"";"";""
"CIB";"ISO/IEC JTC 1/SC 27";"Joint Development Foundation CAT C Liaison with SC 27/WG 4";"";"";"Open";"2026-01-23";"2026-02-21";"";"Obligated voter";"";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=561209";"";"";""
"CIB";"ISO/TC 147/SC 2";"Revision ISO 12010:2019";"";"";"Open";"2025-12-20";"2026-02-21";"";"Obligated voter";"Draft ISO/TC 147/SC 2 Resolution C006/2025 “Revision of ISO 12010:2019”";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=545209";"Following SC 2 resolution 476 (Seoul -15/2024) taken on 2024-11-01 it is intended to revise ISO 12010:2019 “Water quality — Determination of short-chain polychlorinated alkanes (SCCP) in water — Method using gas chromatography-mass spectrometry (GC-MS) and negative-ion chemical ionization (NCI)”. The revision is to be carried out in a newly established working group, new SC 2/WG 89 “Revisions of Organic methods” A ballot is launched among SC 2 members via the CIB-Portal in order to receive their vote on Draft SC 2 Resolution C006/2025 “Revision of ISO 12010:2019” ISO/TC 147/SC 2 decides to revise ISO 12010:2019 “Water quality — Determination of short-chain polychlorinated alkanes (SCCP) in water — Method using gas chromatography-mass spectrometry (GC-MS) and negative-ion chemical ionization (NCI)”: Development track 24 months Project leader: Dr. Michael Petri (michael.petri@bodensee-wasserversorgung.de) WG in charge: newly established WG 89 “revision of organic methods” The current scope is confirmed The project is starting at stage (40.00) Project plan (target dates): Submission of DIS (40.00): 2027-02-01Submission of FDIS (50.00) (if any): 2027-10-30Publication: 2028-02-28Using the Online Development platform: OSD option: YES OSD starting material: existing MS word file The revision of ISO 12010:2019  supports the UN Sustainable Development Goals 3 “Good Health and Well-being”, 6 “Clean water and Sanitation” and 14 “Life Below water”. Deadline for voting will be: 2026-02-21";"";""
"CIB";"ISO/TC 147/SC 2";"Revision ISO 20595:2018";"";"";"Open";"2025-12-20";"2026-02-21";"";"Obligated voter";"Draft ISO/TC 147/SC 2 Resolution C007/2025 “Revision of ISO 20595:2018, Water quality — Determination of selected highly volatile organic compounds in water — Method using gas chromatography and mass spectrometry by static headspace technique (HS-GC-MS)”";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=545309";"The need to revise ISO 20595:2018 became clear as a result of the systematic review. The following needs to be revised: - Removal of the normative reference to ISO 3696:1987, “Water for analytical laboratory use — Specification and test methods”; - Permitting PTFE plugs in sampling bottles; - Changing the analysis time to two days; - Adjusting the reference to 5667-3, “Water quality — Sampling — Part 3: Preservation and handling of water samples” The revision is to be carried out in a newly established working group, new SC 2/WG 89 “Revisions of Organic methods”. A ballot is launched among SC 2 members via the CIB-Portal in order to receive their vote on Draft ISO/TC 147/SC 2 Resolution C007/2025 “Revision of ISO 20595:2018” ISO/TC 147/SC 2 decides to revise ISO 20595:2018 “Water quality — Determination of selected highly volatile organic compounds in water — Method using gas chromatography and mass spectrometry by static headspace technique (HS-GC-MS)” Development track 24 months Project leader: Mrs Ute Brüll-Pehl (Ute.Bruell-Pehl@lanuk.nrw.de) WG in charge: new established WG 89 “revision of organic methods” The current scope is confirmed The project is starting at stage (40.00) Project plan (target dates): Submission of DIS (40.00): 2027-01-30Submission of FDIS (50.00) (if any): 2027-10-30Publication: 2028-03-01Using the Online Development platform: OSD option: YES OSD starting material: existing MS word file The revision of ISO 20595:2018 supports the UN Sustainable Development Goals 3 “Good Health and Well-being”, 6 “Clean water and Sanitation” and 14 “Life Below water”. Deadline for voting will be: 2026-02-21";"";""
