Type;Committee;Reference;Vote;Result;Status;Opening date;Closing date;Closed on;Vienna agreement;Work Item ID;Work Item Number;Role;Title;URL;Note
"CIB";"CEN/TC 132";"Decision 25/2025: Appointment of WG 31 convenor";"";"";"Open";"2025-12-12";"2026-02-12";"n/a";"None";"";"";"Voter";"WG 31 - Terminology and general support";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=173496";"Following the restructuration of CEN/TC 132 which was approved during the last plenary meeting of the TC (cf. N°2383), a Working Group 31 - ""Terminology and general support"" has been established, with the aim of taking over the functions of the previous WGs 14, 17 and 18.  In last September, a call for convenorships was published (N°2404). SNV answered to the call by asking the nomination of Mr. Christophe Jaquerod as convenor of WG 31, with a standardisation support/secretariat provided by SNV. We now ask you to vote on the approval of Decision 25/2025 to appoint Mr. Jaquerod as convenor of WG 31 for a 3 years-term, with SNV a secretariat. You will find the curriculum vitae of Mr. Jaquerod in the Decision document."
"Enquiry";"CEN/TC 191";"EN 12259-12:2023/prA1";"";"";"Open";"2025-11-20";"2026-02-12";"n/a";"None";"81979";"00191412";"Voter";"Fixed firefighting systems - Components for sprinkler and water spray systems - Part 12: Pumps";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=168659";""
"FV";"CEN/TC 230";"FprEN 16150";"";"";"Open";"2025-12-18";"2026-02-12";"n/a";"None";"78130";"00230437";"Voter";"Water quality - Guidance on pro-rata multi-habitat sampling of benthic macroinvertebrates from rivers and streams";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=175102";""
"Enquiry";"CEN/TC 410";"prEN ISO 11596";"";"";"Open";"2025-11-20";"2026-02-12";"n/a";"None";"82546";"00410017";"Voter";"Jewellery and precious metals - Sampling of precious metals and precious metal alloys (ISO 11596:2021)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=168660";""
"Enquiry";"CEN/TC 410";"prEN ISO 22764";"";"";"Open";"2025-11-20";"2026-02-12";"n/a";"None";"82542";"00410014";"Voter";"Jewellery and precious metals - Fineness of solders used with precious metal jewellery alloys (ISO 22764:2020)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=168658";""
"Enquiry";"CEN/TC 410";"prEN ISO 23345";"";"";"Open";"2025-11-20";"2026-02-12";"n/a";"None";"82547";"00410018";"Voter";"Jewellery and precious metals - Non destructive precious metal fineness confirmation by ED-XRF (ISO 23345:2021)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=168738";""
"Enquiry";"CEN/TC 410";"prEN ISO 24016";"";"";"Open";"2025-11-20";"2026-02-12";"n/a";"None";"82545";"00410016";"Voter";"Jewellery and precious metals - Grading polished diamonds - Terminology, classification and test methods (ISO 24016:2020, including corrected version 2024-03)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=168758";""
"Enquiry";"CEN/TC 410";"prEN ISO 24018";"";"";"Open";"2025-11-20";"2026-02-12";"n/a";"None";"82544";"00410015";"Voter";"Jewellery and precious metals - Specifications for 1 kilogram gold bar (ISO 24018:2020)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=168657";""
"Enquiry";"CEN/TC 410";"prEN ISO 8653";"";"";"Open";"2025-11-20";"2026-02-12";"n/a";"None";"82541";"00410013";"Voter";"Jewellery - Ring-sizes - Definition, measurement and designation (ISO 8653:2016)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=168756";""
"CIB";"CEN/TC 88";"DRAFT DECISION 1028c/2026 - Appointment of WG 22 Convenor";"";"";"Open";"2026-01-13";"2026-02-13";"n/a";"None";"";"";"Voter";"DRAFT DECISION 1028c/2026 - Appointment of WG 22 Convenor";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=178556";"CEN/TC 88 “Thermal insulating materials and products”; considering the CEN/CENELEC Internal Regulations - Part 2, clause 3.4.2 and BT Decision C24/2012, which lay down the rules for the appointment and responsibilities of a Working Group Convenor;noting the nomination as evaluated by the Technical Committee Secretariat (see N 4710);noting the commitment of the applicant to his responsibilities and duties;noting the commitment of the professional standardization support from DIN;decides to appoint Thomas Lohmann as Convenor of Working Group 22 “Factory made calcium silicate (CS) products” for a period of 6 years starting on 2026-02-13. The decision was taken with N positive vote(s), N negative vote(s) and N abstention(s)."
"CIB";"CEN/TC 88";"DRAFT DECISION 1029c/2026 - Appointment of WG 8 Convenor";"";"";"Open";"2026-01-16";"2026-02-13";"n/a";"None";"";"";"Voter";"DRAFT DECISION 1029c/2026 - Appointment of WG 8 Convenor";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179376";"CEN/TC 88 “Thermal insulating materials and products”; considering the CEN/CENELEC Internal Regulations - Part 2, clause 3.4.2 and BT Decision C24/2012, which lay down the rules for the appointment and responsibilities of a Working Group Convenor;noting the nomination as evaluated by the Technical Committee Secretariat (see N 4712);noting the commitment of the applicant to his responsibilities and duties;noting the commitment of the professional standardization support from NBN;decides to appoint Philip Maes as Convenor of Working Group 8 “Cellular glass (CG)” for a period of 6 years starting on 2026-02-13. The decision was taken with N positive vote(s), N negative vote(s) and N abstention(s)."
"CIB";"CEN/TC 132";"Decision 26/2025: Appointment of WG 34 convenor";"";"";"Open";"2025-12-13";"2026-02-13";"n/a";"None";"";"";"Voter";"WG 34 - Casting and recycling";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=174316";"Following the restructuration of CEN/TC 132 which was approved during the last plenary meeting of the TC (cf. N°2383), a Working Group 34 - ""Casting and recycling"" has been established, with the aim of taking over the functions of the previous WGs 1, 2, 10, 20 and 23.  In last September, a call for convenorships was published (N°2404). DIN answered to the call by asking the nomination of Mr. Leonhard Heusler as convenor of WG 34, with a standardisation support/secretariat provided by DIN. We now ask you to vote on the approval of Decision 26/2025 to appoint Mr. Heusler as convenor of WG 34 for a 3 years-term, with DIN as secretariat. You will find the curriculum vitae of Mr. Heusler in the Decision document."
"CIB";"CEN/TC 155";"Technical comments on prEN 1852-1";"";"";"Open";"2026-01-13";"2026-02-13";"n/a";"None";"";"";"Voter";"Plastics piping systems for non-pressure underground drains and sewers - Polypropylene (PP) - Part 1: Specifications for pipes, fittings and the system";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=178436";""
"CIB-NWI";"CEN/TC 164";"Adoption of a NWI EN 16003 rev";"";"";"Open";"2025-12-13";"2026-02-13";"n/a";"None";"";"";"Voter";"Adoption of a New Work Item for the revision of EN 16003 Chemicals used for treatment of water intended for human consumption — Calcium magnesium carbonate This project is developped by CEN/TC 164/WG9 TG5";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=174416";""
"CIB-NWI";"CEN/TC 164";"Adoption of a NWI EN 16004 rev";"";"";"Open";"2025-12-13";"2026-02-13";"n/a";"None";"";"";"Voter";"Adoption of a New Work Item for the revision of EN 16004 Chemicals used for treatment of water intended for human consumption — Magnesium oxide This project is developped by CEN/TC 164/WG9 TG5";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=174436";""
"CIB-NWI";"CEN/TC 164";"Adoption of a NWI EN 16409 rev";"";"";"Open";"2025-12-13";"2026-02-13";"n/a";"None";"";"";"Voter";"Adoption of a New Work Item for the revision of EN 16409 Chemicals used for treatment of water intended for human consumption — Dolomitic lime This project is developped by CEN/TC 164/WG9 TG5";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=174456";""
"CIB-9mthTol";"CEN/TC 268";"Draft decision 02/2026 per correspondence";"";"";"Open";"2026-01-16";"2026-02-13";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179676";""
"CIB-9mthTol";"CEN/TC 344";"Decision1/2026_ tolerance request";"";"";"Open";"2026-01-13";"2026-02-13";"n/a";"None";"";"";"Voter";"WI00344016 “Design and use of free-standing steel rack protection for adjustable pallet racking — Upright protectors and frame barriers — Requirements and test methods";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=178396";"Tolerance is needed for the following reasons: - time for redrafting of the figures;  - need of 1 month CIB for approval to be sent to FV"
"CIB";"CEN/TC 438";"Survey European roadmap for AM standards";"";"";"Open";"2025-12-24";"2026-02-13";"n/a";"None";"";"";"Voter";"CEN/TC 438/WG 1 - Survey European roadmap for AM standards";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176356";"Survey Instructions: Each member of CEN/TC 438, including national standardization committees with participating status and liaison organizations, is kindly invited to consult additive manufacturing stakeholders to propose up to three (3) AM topics for the future European roadmap that WG 1 will develop. For each proposal, the national committee must indicate: Title: Clearly and concisely indicate the AM topic or field that the proposal covers.Scope: Provide a clear indication of the coverage of the proposed new work item. If necessary for clarity, specify any exclusions. Please be concise: the scope should not exceed 2-3 paragraphs.Purpose/Justification: Explain why the standard is needed. Will the proposed work translate into practical, impactful standards that support short- or medium-term industrial adoption, interoperability, and competitiveness across Europe? Is the proposed topic linked to existing European industrial projects? Describe concisely the business, technological, societal, or environmental issues that the proposal aims to address, along with the expected benefits.Bibliography/Documentation: Are you aware of any standards or other third-party specifications that already address the proposed topic? What gaps or aspects are not fully covered in these existing documents that would justify your proposal?Rating: On a scale of 1 to 3 (based on the number of proposals you have submitted), what score would you give to this proposal? Please consider: 1 = Most important, 2 = Important, 3 = Least important.Please note that at the March meeting, CEN/TC 438/WG 1 will review the submitted proposals and decide which ones will be included among the top 5 priority topics in the European roadmap for AM. Please use the template in document N 468 to draft your reply. Additional information regarding the roadmap to be developed by CEN/TC 438/WG 1 can be found in document N 469."
"CIB-NWI";"CEN/TC 459/SC 1";"Draft Dec. C1/2026 - Adoption NWI ISO/NP 25973 as EN ISO";"";"";"Open";"2025-12-14";"2026-02-13";"n/a";"None";"";"";"Voter";"Adoption of a New Work Item EN ISO 25973 Metallic materials — Sheet and strip — Shear testing for the characterisation of work hardening";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=174116";"Dear member, To be able to proceed with the adoption of ISO/NP 25973 ""Metallic materials — Sheet and strip — Shear testing for the characterisation of work hardening"" as a EN ISO, a two-month CIB needs to be launched.  We kindly ask you to submit your vote for the adoption of the ISO standard."
"CIB";"CEN/TC 129";"Draft Dec. 837 - appointment WG 2 convenor - Guenael BOUILLE";"";"";"Open";"2025-12-15";"2026-02-15";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=174756";""
"CIB-AdopFV";"CEN/TC 344";"FprEN 18121 for submission to Formal Vote";"";"";"Open";"2026-01-15";"2026-02-15";"n/a";"None";"";"";"Voter";"FprEN 18121 - Design and use of free-standing steel rack protection for adjustable pallet racking — Upright protectors and frame barriers — Requirements and test methods";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179316";""
"CIB";"CEN/TC 128/SC 3";"Super life hero project";"";"";"Open";"2026-01-15";"2026-02-16";"n/a";"None";"";"";"?AppRole.NoRole.label?";"Method of measuring the air permeability of a tiled roof";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179336";"Dear All, As discussed during the last SC3 meeting, it was agreed to launch a ballot within SC3 only to collect written comments from all members regarding the Super Life Hero project documentation. After addressing the comments received, a meeting will be organized to decide whether SC3 would like to request CEN/TC 128 to activate a New Work Item (NWI) for this project."
"CIB";"CEN/TC 393";"Reactivation of WG 1 under BSI and nomination of P.v.Dijk";"";"";"Open";"2026-01-19";"2026-02-16";"n/a";"None";"";"";"Voter";"Draft decision 01/2026 - Reactivation of WG 1 and appointment of Mr. Peter van Dijk as Convenor";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179696";"For the intended appointment of Mr. Peter van Dijk please consider the following criteria:  CEN/CENELEC Internal Regulations - Part 2, clause 3.4.2 and BT Decision C24/2012, which lay down the rules for the appointment and responsibilities of a Working Group Convenor;nomination evaluated by the Technical Committee Secretariat;the commitment of the applicant to his responsibilities and duties; the commitment of the professional standardization support from BSI;"
"CIB";"CEN/TC 156";"Confirmation of Convenor of WG 27";"";"";"Open";"2026-01-20";"2026-02-17";"n/a";"None";"";"";"Voter";"Confirmation of Mr Simone Dugaria as convenor of CEN/TC 156/WG 27 'Performance of air to air heat recovery components.";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179896";"Noting the BT decision to transfer EN 308:2022 ‘Heat exchangers - Test procedures for establishing performance of air to air heat recovery components’ (WI 00110058) to CEN/TC 156 has been approved. Noting that the convenor of the CEN/TC 110 working group has agreed to act as convneor of WG 27. This CIB ballot is to confirm Mr Simone Dugaria as Convenor of CEN/TC 156/WG 27 'Performance of air to air heat recovery components."
"CIB";"CEN/TC 260";"Draft Decision CEN/TC 260 C984/2026 Confirmation after SR";"";"";"Open";"2026-01-19";"2026-02-17";"n/a";"None";"";"";"Voter";"WI 00260218 CEN/TS 17764:2022 ­ Inorganic micronutrient fertilizers ­ Determination of the concentration of free, chelated or complexed micronutrients and the chelating and/or complexing agents present in compound inorganic micronutrient fertilizers WI 00260281 CEN/TS 17782:2022 ­ Fertilizing products ­ Determination of the stability of fertilizing products containing micronutrient chelates at different pHs WI 00260282 CEN/TS 17783:2022 ­ Fertilizing products ­ Determination of the stability of fertilizing products containing micronutrient complexes WI 00260283 CEN/TS 17784­2:2022 ­ Organo­mineral fertilizers ­ Identification of complexing agents ­ Part 2: Method using high­performance liquid chromatography (HPLC) WI 00260284 CEN/TS 17784­1:2022 ­ Organo­mineral fertilizers ­ Identification of complexing agents ­ Part 1: Method using UV­Vis spectrophotometry and gravimetry WI 00260285 CEN/TS 17785:2022 ­ Organo­mineral fertilizers ­ Determination of chelating and complexing agents WI 00260286 CEN/TS 17786­1:2022 ­ Inorganic micronutrient fertilizers ­ Determination of the chelated micronutrient content and the chelated fraction of micronutrients ­ Part 1: Treatment with a cation exchange resin WI 00260287 CEN/TS 17786­2:2022 ­ Inorganic micronutrient fertilizers ­ Determination of the chelated micronutrient content and the chelated fraction of micronutrients ­ Part 2: Determination of EDTA, DTPA, HEEDTA, IDHA or EDDS WI 00260288 CEN/TS 17787:2022 ­ Fertilizing products ­ Stability of chelating and complexing agents WI 00260289 CEN/TS 17788:2022 ­ Organo­mineral fertilizers ­ Determination of the fraction of complexed micronutrients WI 00260290 CEN/TS 17789­1:2022 ­ Organo­mineral fertilizers ­ Identification of chelating agents ­ Part 1: Determination of EDTA, HEEDTA and DTPA by ion chromatography WI 00260291 CEN/TS 17789­2:2022 ­ Organo­mineral fertilizers ­ Identification of chelating agents ­ Part 2: Determination of Fe chelated by [o,o] EDDHA, [o,o]EDDHMA and HBED, or the amount of chelating agents by ion pair chromatography WI 00260292 CEN/TS 17790:2022 ­ Organo­mineral fertilizers ­ Determination of the chelated micronutrient content and the chelated fraction of micronutrients by treatment with a cation exchange resin WI 00260293 CEN/TS 17791:2022 ­ Inorganic fertilizers ­ Determination of chelating and complexing agents";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180016";""
"CIB";"CEN/TC 260";"Draft Decision CEN/TC 260 C985/2026 Confirmation after SR";"";"";"Open";"2026-01-19";"2026-02-17";"n/a";"None";"";"";"Voter";"WI 00260053 EN 14397-2:2004 - Fertilizers and liming materials - Determination of carbon dioxide - Part 2: Method for liming materials";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=180036";""
"Enquiry";"CEN/TC 302";"prEN ISO 24223";"";"";"Open";"2025-11-27";"2026-02-18";"n/a";"VA/ISO";"80015";"00302104";"Voter";"Milk and milk products - Guidance on sample preparation for physical and chemical testing (ISO/DIS 24223:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=170156";""
"CIB-NWI";"CEN/TC 319";"Adoption of NWI for rev EN 16991:2018";"";"";"Open";"2025-12-18";"2026-02-18";"n/a";"None";"";"";"Voter";"Draft decision CEN/TC 319 N°229/2025 -  adoption of a new work item for the revision of EN 16991:2018";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175176";""
"CIB";"CEN/TC 442";"Draft SReq Digital Building Logbooks (DBL) for comments";"";"";"Open";"2026-01-28";"2026-02-18";"n/a";"None";"";"";"Voter";"Draft Standardisation request Digital Building Logbooks (DBL) for comments";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181716";""
"CIB-ActivPWI";"CEN/TC 459/SC 9";"ActivPWI EC109100";"";"";"Open";"2025-12-18";"2026-02-18";"n/a";"None";"";"";"Voter";"Activation of PWI of EN 10111 ""Continuously hot rolled low carbon steel sheet and strip for cold forming - Technical delivery conditions"".";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175316";"Following CEN/TC 459/SC 9 pleanry meeting, Decision 8/2025, following recommendantion of WG 5 to activate PWI."
"CIB-NWI";"CEN/TC 459/SC 9";"NWI EN 10205:2024-Amendment A1";"";"";"Open";"2025-12-18";"2026-02-18";"n/a";"None";"";"";"Voter";"Amendment of EN 10205";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175336";"Amendment of EN 10205:2024 ""Cold reduced tinmill products – Blackplate"". During last plenary meeting of CEN/TC 459/SC 9, it was decided to start a ballot for amendment of EN 10205 (Decision 10 - See Document N 499). The amendment concerns addition of units to Figure 1 “Location of test pieces” and the removal of an erronneous reference to an non-existent clause in EN ISO 6892-1: 2019 in Annex A “The Rockwell Hardness test for routine determination”."
"CIB-NWI";"CEN/TC 459/SC 9";"NWI EN 10338:2025-Amendment A1";"";"";"Open";"2025-12-18";"2026-02-18";"n/a";"None";"";"";"Voter";"Amendment of EN 10338";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175296";"Amendment of EN 10338:2025 ""Hot rolled and cold rolled non-coated products of multiphase steels for cold forming - Technical delivery conditions"". During last plenary meeting of CEN/TC 459/SC 9, it was decided to start a ballot for amendment of EN 10338 (Decision 6 - See Document N 499). The amendment concers the correction of steel designation in Table 5, and the addition of calculation methods."
"Enquiry";"ASD-STAN";"prEN 3475-203";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"82868";"04004990";"Voter";"Aerospace series - Cables, electrical, aircraft use — Test methods — Part 203: Dimensions";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=170238";""
"Enquiry";"ASD-STAN";"prEN 3660-062";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"78004";"04004834";"Voter";"Aerospace series - Cable outlet accessories for circular and rectangular electrical and optical connectors - Part 062 : Cable outlet, style K, 90°, for heat shrinkable boot, shielded, sealed, self locking - Product standard";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=169996";""
